,Komentar
333,"['jijik', 'astagah', 'sok', 'bat', 'cakap', 'njs']"
334,"['bully', 'an', 'ig', 'ngeri', 'facebook', 'anjing', 'saya', 'ngeri', 'anjing']"
335,"['sudah', 'buriq', 'brengsek', 'pantes', 'saja', 'dapat', 'lonte']"
336,"['muka', 'kampung', 'gaya', 'sok', 'soan', 'kota', 'nyet']"
337,"['ngapa', 'lidah', 'kamu', 'stroke', 'amin', 'deh', 'begitu']"
338,"['ciah', 'hujat', 'indonesia', 'sampai', 'bunuh', 'kontol', 'belum', 'puas', 'nguat', 'kamu']"
339,"['orang', 'kampung', 'otak', 'dusun', 'gaya', 'sosoan', 'hype', 'tetap', 'saja', 'tidak bisa', 'nutupin', 'muka', 'babu', 'kamu']"
340,"['cowok', 'foto', 'lihat', 'lidah', 'jam', 'ah', 'jijik', 'saya', 'minus', 'akhlak', 'seperti', 'gin']"
341,"['anjing', 'saya', 'juga', 'ogah', 'liat', 'muka', 'kamu']"
342,"['boleh', 'melet', 'dosa', 'rik']"
343,"['paan', 'melet', 'melet', 'jilat', 'tai', 'tabi']"
344,"['setan', 'memang', 'melet', 'terus', 'jijik', 'asu']"
345,"['ini', 'anak', 'lahir', 'karena', 'kondom', 'bocor', 'syukur', 'muka', 'seperti', 'selangkang', 'gorilla', 'dapat', 'cewek', 'cantik', 'seperti', 'jessica', 'setia', 'dulu', 'siain', 'bangsat']"
346,"['sih', 'melet', 'sok', 'ganteng']"
347,"['muka', 'seperti', 'slangkangan', 'biawak', 'saja', 'banyak', 'blagu', 'kamu']"
348,"['sumpah', 'sih', 'jahat', 'sekali', 'benar', 'kasihan', 'kakak', 'jessica']"
349,"['anjing', 'pantes', 'bidadari']"
350,"['melet', 'terus', 'setan', 'kaya', 'ular']"
351,"['anjir', 'melet', 'melet', 'saya', 'kirain', 'hewan']"
352,"['begitu', 'saja', 'deh', 'seperti', 'anjing', 'kamu', 'kang']"
353,"['saya', 'kesini', 'ken', 'liat', 'babang', 'sumpah', 'feeling', 'saya', 'benar', 'sekali', 'ama', 'reynhard', 'sinaga']"
354,"['kok', 'melet', 'sih', 'kaya', 'hewan', 'saja']"
355,"['iu', 'pilih', 'iblis', 'daripada', 'bidadari']"
356,"['melet', 'sudah', 'kaya', 'anjing', 'eh', 'emah', 'anjing']"
357,"['nyadar', 'saja', 'sampah', 'ha']"
358,"['lidah', 'kuman', 'and', 'virus']"
359,"['ngira', 'baju', 'endorse', 'kfc']"
360,"['saya', 'kamu', 'karya', 'baik', 'tinggal', 'negatif', 'lambat', 'tetap', 'orang', 'hebat', 'bahagia']"
361,"['cita', 'cita', 'pakboi', 'eh', 'narkoboy', 'nasib']"
362,"['kenapa', 'kamu', 'penjara', 'sih']"
363,"['mending', 'kamu', 'tobat', 'sudah']"
364,"['penjara', 'apalo', 'sikat', 'gi', 'bau', 'bau', 'aroma', 'bangsat']"
365,"['gi', 'kamu', 'apa', 'jigong', 'kondom', 'nyangkut']"
366,"['muka', 'seperti', 'anjing', 'rumah', 'saya']"
367,"['woi', 'anak', 'anjing', 'ngapain', 'kamu', 'hidup', 'bangsat']"
368,"['sudah', 'jelek', 'jelek', 'in', 'bro']"
369,"['ganteng', 'tidak', 'bakat', 'tidak', 'lebih', 'di mana', 'cobak']"
370,"['benci', 'saja', 'ama', 'orang', 'jelek', 'pakai', 'selingkuh']"
371,"['sudah', 'tutup', 'mulut', 'bau', 'kambing']"
372,"['jual', 'jual', 'kenapa', 'tidak', 'yutuber', 'bro', 'takut', 'tidak', 'nonton', 'yah']"
373,"['mirip', 'randy', 'pangalila', 'kalau', 'pakai', 'kacamata']"
374,"['kenapa', 'liat', 'muka', 'bagi', 'eric', 'kaya', 'enak', 'begitu']"
375,"['ganteng', 'sih', 'anjing', 'kucel', 'gin', 'jadi', 'model']"
376,"['seperti', 'ngeliat', 'hancur', 'deh']"
377,"['ingat', 'hidup', 'kamu', 'enak', 'rik', 'hidup', 'kamu', 'susah', 'salam', 'teman', 'smp', 'pas', 'kamu', 'burik', 'eh', 'sekarang', 'saja']"
378,"['kalau', 'liat', 'muka', 'sumpah', 'ngeselin', 'sekali', 'sudah', 'operasi', 'sono', 'biar', 'ganteng', 'sedikit', 'kalau', 'jalan', 'mal', 'kenal', 'orang']"
379,"['sih', 'artis', 'jelek', 'mah', 'iya', 'muka']"
380,"['era', 'kamu', 'mending', 'kamu', 'mati', 'saja', 'babi', 'kalau', 'baca', 'balas', 'nyet']"
381,"['segenap', 'hati', 'maaf']"
382,"['bahagia', 'utang']"
383,"['maju', 'kelas', 'rik', 'jaman', 'lagi', 'toxic', 'atur', 'build', 'sistem', 'you', 'wil', 'be', 'big']"
384,"['edit', 'konsep', 'nice', 'sekali']"
385,"['iri', 'babi', 'hahah', 'najis']"
386,"['kamu', 'kaya', 'anjing', 'kaya', 'babi']"
387,"['jelek', 'saja', 'tukang', 'selingkuh', 'kamu', 'buriq']"
388,"['komennya', 'seperti', 'gin']"
389,"['rick', 'kamu', 'tuh', 'manusia', 'seperti', 'guna', 'kamu', 'dilahirin', 'dunia', 'buat', 'sayang', 'kamu', 'ngecewain', 'orang', 'gimana', 'mau', 'masuk', 'surga']"
390,"['kaloga', 'cocok', 'paksain']"
391,"['biarin', 'gatau', 'gimana', 'asli', 'ambil', 'putus', 'sepihakkalo', 'sudah', 'takdir', 'tidak ada', 'nentang', 'anjir']"
392,"['cocok', 'memang', 'orang', 'mah', 'orang', 'kalau', 'bejat', 'mah', 'memang', 'cocok', 'bejat', 'ehehe']"
393,"['erick', 'goblok', 'pacar', 'ama', 'lonte', 'anjso', 'bat']"
394,"['cocok', 'sekali', 'orang', 'benar', 'biar', 'hancur']"
395,"['eh', 'seperti', 'tampak', 'lonte']"
396,"['tinggal', 'berlian', 'tai', 'sapi']"
397,"['era', 'kamu', 'lagi', 'sekarang', 'kamu', 'penuh', 'cacimaki', 'telen', 'ludah']"
398,"['pantes', 'mulai', 'sih', 'anjing', 'ulah']"
399,"['open', 'tidur', 'bang', 'sih', 'listy', 'om', 'cari', 'cewek', 'sudah', 'alam']"
400,"['buah', 'nangka', 'buah', 'kemanggi', 'akhlak', 'kamu', 'babi']"
401,"['perlahan', 'karirmu', 'hancur', 'bro', 'kamu', 'kebawan']"
402,"['biar', 'bangkrut', 'saja', 'ceo', 'gatau', 'terima kasih', 'ha']"
403,"['ngapain', 'nginap', 'rumah', 'cowok', 'tidak ada', 'keluarga', 'lagi', 'kamu']"
404,"['eh', 'pelakor', 'pas', 'sekali', 'frame', 'orang']"
405,"['anak', 'goblok', 'kasih', 'berlian', 'pilih', 'kerikil']"
406,"['kasih', 'bidadari', 'pilih', 'dajjal', 'awokawokv']"
407,"['hanya', 'ngehina', 'sadar', 'sempurna', 'kaya']"
408,"['kasihan', 'saya', 'orang', 'otak', 'dangkal', 'seperti', 'gin']"
409,"['murah', 'sekali', 'kamu', 'jijik', 'saya', 'dikick', 'evos', 'malah', 'open', 'tidur']"
410,"['neng', 'sesal', 'umur', 'hidup', 'miris', 'sekali', 'hidup', 'kamu', 'tolol', 'tinggal', 'berlian', 'indah', 'pandang', 'sayang', 'gumpal', 'tai', 'kucing']"
411,"['indah', 'pandang', 'lont', 'lont', 'jual']"
412,"['bidadari', 'tunjuk', 'memang', 'pantes', 'sma', 'dajjal', 'tahu']"
413,"['tolong', 'kasih', 'tahu', 'gais']"
414,"['kasih', 'hati', 'malaikat', 'pilih', 'hati', 'iblis', 'greget']"
415,"['kasih', 'bidadari', 'pilih', 'kotor']"
416,"['kasih', 'bidadari', 'lonte']"
417,"['tidak jadi', 'beli', 'model', 'murah', 'barang', 'murah']"
418,"['modelny', 'saja', 'murah', 'barang']"
419,"['muka', 'macem', 'amen', 'gegayaan', 'selingkuh', 'untung', 'sudah', 'sama', 'jane', 'lagi', 'banting', 'sama', 'jane', 'muka', 'kamu']"
420,"['males', 'beli', 'guagara', 'gara', 'lonte']"
421,"['bulug', 'gin', 'muka', 'eh', 'maaf']"
422,"['cantik', 'jessica', 'ke mana']"
423,"['kasih', 'bidadari', 'pilih', 'sampah']"
424,"['yaelah', 'muka', 'pas', 'saja', 'bangga', 'kamu', 'njing']"
425,"['pilih', 'iblis', 'bidadari', 'ha']"
426,"['kanahaya', 'kenapa', 'truck', 'sampah', 'seperti', 'muka', 'sampah']"
427,"['tidak jadi', 'beli', 'takut', 'tular', 'lonte']"
428,"['hujat', 'klean', 'kasihan', 'sih', 'listy', 'kontrak', 'copot', 'hujat', 'dunia', 'sangat', 'kejam']"
429,"['beli', 'baju', 'lonte', 'nanti', 'kena', 'sial']"
430,"['dasar', 'cewek', 'kamu', 'lonte', 'tahu', 'kamu']"
431,"['sudah', 'gapaham', 'tolong']"
432,"['tengah', 'manusia', 'monyet', 'kulit', 'corak', 'batik']"
433,"['muka', 'kamu', 'anjing', 'gwelebih', 'ganteng', 'anjing', 'gwe', 'rik']"
434,"['pens', 'lonte', 'jangan', 'takut', 'listi', 'miskin', 'karena', 'pecat', 'karena', 'bisa', 'kaya', 'lagi', 'nglonte']"
435,"['etdah', 'tinggal', 'lonte', 'situ', 'waras', 'mas']"
436,"['saya', 'cewek', 'murah', 'postingan']"
437,"['belah', 'kanan', 'batik', 'orang', 'sudah', 'warna', 'seperti', 'taek', 'babi', 'sih']"
438,"['kok', 'muka', 'jelek', 'sekali', 'sih', 'seram', 'seperti', 'setan']"
439,"['foto', 'tiga', 'jablay', 'murah']"
440,"['jelek', 'saja', 'tukang', 'selingkuh', 'kamu', 'buriq']"
441,"['memang', 'suci', 'nghina', 'segitu']"
442,"['mending', 'follow', 'unfollow', 'sudah', 'tidak usah', 'ribet']"
443,"['dekil', 'tato', 'mampus', 'karir', 'kamu', 'hancur', 'pantek']"
444,"['sudah', 'berlian', 'pilih', 'batu', 'nisan']"
445,"['alas', 'setan', 'ama', 'setan', 'karena', 'kalau', 'setan', 'bidadari', 'sayap', 'rontok', 'ceker', 'gigit', 'jambak']"
446,"['erick', 'akhlak', 'jelek', 'listy', 'jelek']"
447,"['setan', 'ma', 'setan', 'mah', 'memang', 'cocok', 'ude']"
448,"['lonte', 'kurus', 'pucet', 'seperti', 'mayat', 'hidup']"
449,"['muka', 'tutup', 'panci', 'jelek', 'sampai', 'ubun', 'ubun']"
450,"['semangat', 'terus', 'bro', 'tiada', 'manusia', 'sempurna', 'kamu', 'bangkit', 'gbu', 'keepstrong']"
451,"['bodoh', 'anak', 'orang', 'sudah', 'perawan', 'noh', 'gara', 'kamu']"
452,"['frustasi', 'habis', 'uang', 'kasihan']"
453,"['bro', 'kamu', 'ngehujat', 'erick', 'tetapi', 'masalah', 'sok', 'keras']"
454,"['semangat', 'rick', 'usaha', 'baru']"
455,"['aduh', 'muka', 'kaya', 'tong', 'sampah']"
456,"['sekali', 'omong', 'kasar', 'tobat', 'kawan', 'kawan', 'comment', 'kasar']"
457,"['ini', 'orang', 'jelek', 'obatkok', 'j', 'liat']"
458,"['semangat', 'bang', 'orang', 'ngejudge', 'kamu', 'peduliin']"
459,"['tuhan', 'yesus', 'semangat', 'rick']"
460,"['balas', 'komen', 'hate', 'bang', 'bikin', 'sakit', 'jempol', 'mending', 'karya']"
461,"['eh', 'kamu', 'nyadar', 'sudah', 'dekil', 'tato', 'kaya', 'daki', 'ha']"
462,"['jelek', 'dapat', 'selingkuh', 'jelek', 'keren', 'imbang', 'wkkw']"
463,"['ngehina', 'fisik', 'ini', 'orangga', 'benar']"
464,"['bunuh', 'sono', 'goblok']"
465,"['sabar', 'komentar', 'uji']"
466,"['santai', 'rick', 'ngehujat', 'kamu', 'belum', 'tahu', 'jalan', 'hidup', 'kamu', 'saja', 'sok', 'suci']"
467,"['sabar', 'yahtetep', 'semangat', 'ngejar', 'karirnya', 'dengerin', 'orang', 'ngebacot', 'komen', 'saja']"
468,"['erick', 'masuk', 'neraka', 'jalur', 'selingkuh', 'bos']"
469,"['terus', 'karya', 'brd', 'titik', 'seperti']"
470,"['stop', 'ngatain', 'orang', 'kamu', 'ngatain', 'orang', 'ngaca', 'dulu', 'ngatain', 'mirip', 'suci', 'saja', 'hidup', 'kamu']"
471,"['ngatain', 'seperti', 'idupnya', 'gapernag', 'bikin', 'salah']"
472,"['gila', 'kamu', 'karena', 'laku', 'youtube']"
473,"['kasihan', 'yah', 'sudah', 'stres']"
474,"['jatohnya', 'seperti', 'anjing', 'sih', 'rik']"
475,"['karir', 'turun', 'autis', 'kasihan', 'hahah']"
476,"['erick', 'seperti', 'gin', 'saya', 'kangenin', 'keep', 'itu', 'up', 'bruuh']"
477,"['sudah', 'autis', 'iya', 'bagi']"
478,"['kasihan', 'muda', 'sudah', 'stres']"
479,"['komen', 'support', 'tutup', 'hate', 'bangsat', 'memang', 'ig']"
480,"['maudy', 'cantik', 'na', 'natural', 'benar', 'cantik', 'sangat', 'cantik', 'dalam']"
481,"['bikin', 'konten', 'youtube', 'student', 'life', 'at', 'standford', 'at', 'oxford', 'fansmu', 'tunggu']"
482,"['aura', 'orang', 'pintar', 'memang', 'shining', 'bun', 'dindut']"
483,"['paket', 'lengkap', 'deh', 'sudah', 'cantik', 'pintar']"
484,"['suka', 'sangat', 'sama', 'artis', 'tidak', 'neko', 'natural', 'sangat']"
485,"['cantik', 'pintar', 'talenta', 'orangtua', 'ingin', 'anak', 'seperti', 'mbak', 'maudy']"
486,"['idih', 'mak', 'lampir', 'banding', 'uya', 'ma', 'kamu', 'kamu', 'butir', 'debu', 'kamu', 'kenal', 'bacot', 'rajin', 'ngaca', 'deh']"
487,"['anjir', 'muka', 'kamu', 'seperti', 'kuntilanak', 'sok', 'cantik']"
488,"['mbak', 'cadel', 'bangga', 'cadel', 'sih', 'kasihan', 'karena', 'cadel', 'jijik', 'bisu', 'saja']"
489,"['sudah', 'pintar', 'cantik', 'banyak', 'tingkah', 'perfect']"
490,"['hati', 'mody', 'jaga', 'serang', 'brutal', 'rasisme', 'wajah', 'kilas', 'onnie', 'korea', 'waspada']"
491,"['bikin', 'konten', 'youtube', 'daily', 'activity', 'stanford', 'kakak']"
492,"['motivasi', 'aku', 'kakak', 'maudy', 'cantip', 'sangat']"
493,"['moga', 'cerdas', 'mbak', 'maudy', 'manfaat', 'agama', 'nusa', 'bangsa', 'aamiin']"
494,"['damage', 'cewek', 'pintar', 'tidak ada', 'lawan']"
495,"['cantik', 'isi', 'kurus', 'sangat', 'kurus', 'aura']"
496,"['cantik', 'sih', 'sayang', 'kurus', 'padahl', 'sudah', 'nikah', 'kamu', 'bahagia', 'nikah']"
497,"['good', 'vibes', 'lapar']"
498,"['kakak', 'cantik', 'sangat', 'bismillah', 'cerdas', 'nular']"
499,"['bodoh', 'kamu', 'alam', 'semesta', 'isi', 'serentak', 'murka', 'dengar', 'lagu']"
500,"['cantik', 'sekali', 'masya', 'allah']"
501,"['kakak', 'nisa', 'ariana', 'grande']"
502,"['adik', 'kakak', 'maudy', 'cantik', 'pintar', 'aura', 'positif', 'ramah', 'lemah', 'lembut', 'rajin', 'sholeha']"
503,"['kilas', 'abu', 'ariana', 'grande', 'ha']"
504,"['ariana', 'grande']"
505,"['kakak', 'adik', 'cantik', 'suka', 'dua']"
506,"['rambut', 'kakak', 'mod', 'bagus', 'hitam', 'kilau']"
507,"['cantik', 'congrats', 'kakak', 'msuk', 'nominsi', 'tc', 'candler']"
508,"['maudy', 'enak', 'bet', 'sudah', 'cantik', 'iya', 'pintar', 'iya']"
509,"['kira', 'dedek', 'diri', 'mukul', 'bang', 'jer', 'pakai', 'ukulele', 'salah', 'salah']"
510,"['bang', 'jerome', 'kalau', 'nyanyiny', 'seperti', 'gin', 'bagus', 'suara', 'ganyangka']"
511,"['sutan', 'lucu', 'gemas']"
512,"['bang', 'vidio', 'bareng', 'sutan', 'kayak', 'senang', 'ama', 'bang', 'jerom']"
513,"['kalau', 'video', 'dua', 'saja', 'hari', 'anak', 'hahah', 'lucu', 'gimana', 'riwehnya']"
514,"['muka', 'kamu', 'cabul', 'sekali', 'sih', 'bagi', 'hahah']"
515,"['raut', 'muka', 'saja', 'sudah', 'orang', 'kalah', 'judi', 'makan', 'enak']"
516,"['kakak', 'jerome', 'mirip', 'boneka', 'tahu', 'hahah']"
517,"['mukbang', 'makan', 'sehat', 'kakak', 'salad', 'jepang', 'begitu']"
518,"['yakinin', 'niat', 'bagi', 'moga', 'sukses']"
519,"['bang', 'nonton', 'kerja', 'jepang', 'manfaat', 'sangat', 'konten', 'jadi', 'gampang', 'kalau', 'cari', 'jepang']"
520,"['hanya', 'rumus', 'diet', 'dipecahka', 'bang']"
521,"['perut', 'maju', 'tetapi', 'semangat', 'maju']"
522,"['pantas', 'kakak', 'jessica', 'bilang', 'bang', 'jerom', 'beruang']"
523,"['aduh', 'susah', 'kalau', 'urus', 'sma', 'jerome', 'rumus', 'matematika', 'bahas', 'daya', 'diri', 'suka', 'bahas', 'inggris', 'daripada', 'matematika']"
524,"['kaya', 'tulus', 'muka', 'kalau', 'liat']"
525,"['kakak', 'jerome', 'trik', 'biar', 'paham', 'cepat', 'rumus', 'matematika', 'dung']"
526,"['baca', 'caption', 'mikir', 'pakai', 'kalkulator', 'cuy', 'ha']"
527,"['sumpah', 'sih', 'kakak', 'kemeja', 'jeans', 'bikin', 'lihat', 'seger', 'sangat', 'mantap', 'mantap']"
528,"['ama', 'aktor', 'korea', 'main', 'film', 'reply', 'kakak', 'jung', 'hwan']"
529,"['iya', 'bang', 'jer', 'beda', 'kalau', 'pakai', 'style', 'mirip', 'gin', 'fresh', 'anak', 'gaul']"
530,"['kalau', 'style', 'gin', 'pas', 'begitu', 'bang', 'sma', 'umur', 'kamu', 'masih', 'muda', 'lihat', 'lebih', 'fresh', 'saja', 'sesuai', 'sma', 'umur']"
531,"['dewasa', 'imut', 'sih', 'syifa']"
532,"['manis', 'sekali', 'ken', 'sudah', 'senyum', 'manis', 'mirip', 'kakak', 'syifa']"
533,"['orang', 'manis', 'sangat', 'sih', 'ngerti']"
534,"['kakak', 'pintar', 'nyanyi', 'suara', 'bagus', 'kakak']"
535,"['salah', 'kalau', 'kakak', 'syifa', 'cantik', 'mamah', 'saja', 'cantik', 'sangat', 'jujur']"
536,"['lelaki', 'kamu', 'lelaki', 'untung']"
537,"['sangat', 'ayah', 'kalau', 'adik', 'sangat', 'mama']"
538,"['kakak', 'sudah', 'cantik', 'sih', 'cantik', 'kalau', 'pakai', 'hijab']"
539,"['gemesh', 'kaya', 'ken', 'cubit']"
540,"['cute', 'sih', 'ganteng', 'parah', 'masih', 'juga']"
541,"['ken', 'saya', 'pacul', 'mulut', 'kamu', 'woi', 'anjing', 'busuk']"
542,"['bilang', 'orang', 'artis', 'cewek', 'turut', 'cantik', 'syifa', 'ziu']"
543,"['kakak', 'syifa', 'itu', 'sudah', 'cantik', 'manis', 'sangat', 'manis', 'itu', 'nglebihin', 'gula']"
544,"['kilas', 'cantik', 'syifa']"
545,"['tuju', 'sih', 'sih', 'tetap', 'cantik', 'sangat', 'pakai', 'pakai', 'up', 'pakai', 'pakai', 'up', 'pucet', 'sangat', 'seperti', 'makan', 'tahun']"
546,"['dah', 'memang', 'cantik', 'kamu', 'cip']"
547,"['muka', 'cantik', 'pakai', 'up', 'hini', 'bahagia', 'sangat', 'kali', 'suami', 'liat', 'bidadari', 'hari']"
548,"['suka', 'sangat', 'sama', 'kakak', 'syifa', 'orang', 'humble', 'sama', 'orang', 'teman']"
549,"['artis', 'remaja', 'indonesia', 'manis', 'sangat', 'kalau', 'senyum', 'deh', 'asa', 'nempel', 'hati']"
550,"['doa', 'perempuan', 'nama', 'nagita', 'sehat', 'bahagia', 'lahir', 'batin', 'sayang', 'sama']"
551,"['rafathar', 'mantul', 'ini', 'pulang', 'tidak', 'jadi', 'inap', 'karena', 'tidak', 'teman', 'mama', 'rumah', 'papa', 'pulang', 'jadi', 'jagain', 'teman', 'ma', 'a']"
552,"['kultur', 'kerja', 'kaya', 'gin', 'saya', 'bagus', 'sih', 'kapitalis', 'sekali', 'petinggi', 'kerja', 'ngevlog', 'endors', 'moga', 'gaji', 'senjang', 'sih', 'ha']"
553,"['senang', 'kerja', 'rans', 'mbak', 'gi', 'tidak', 'ngebossy']"
554,"['senang', 'lihat', 'orang', 'sukses', 'meeting', 'allah', 'ken', 'sukses', 'mirip', 'begitu', 'biar', 'status', 'instastory']"
555,"['moga', 'kelg', 'crew', 'sehat', 'rejeki', 'terus', 'lancar', 'kakak', 'gi']"
556,"['fokus', 'nagita', 'pas', 'minum', 'sempet', 'baca', 'doa', 'keren', 'sangat', 'hasil', 'dik', 'orang', 'tua']"
557,"['kasihan', 'nagita', 'suami', 'kerja', 'berzinah']"
558,"['koreaable', 'sekali', 'face', 'rafathar', 'cakap', 'ganteng', 'manis', 'sekali']"
559,"['masyaallah', 'rafathar', 'ganteng', 'sangat', 'kuat', 'ngeliat', 'alisny']"
560,"['siwon', 'asa', 'saya', 'saja']"
561,"['lucu', 'asa', 'mirip', 'kakak', 'adik']"
562,"['wajah', 'nagita', 'kya', 'umur', 'an']"
563,"['foto', 'nomor', 'edit', 'edit', 'saay', 'kamera', 'bening', 'model', 'foto', 'bening', 'pakai', 'filter', 'tipu', 'tipu']"
564,"['looknya', 'rafathar', 'memang', 'dipungkiri', 'borong', 'gen', 'ma', 'gi', 'ha']"
565,"['nagita', 'kaya', 'anak', 'muda', 'coba', 'cantik', 'bangeet']"
566,"['masyaallah', 'mama', 'cantik', 'anak', 'ganteng', 'perfect']"
567,"['kaya', 'adik', 'kakak', 'kakak', 'gi', 'lihat', 'muda', 'sekali']"
568,"['gede', 'saja', 'rafathar', 'pintar', 'rafathar']"
569,"['ma', 'gi', 'rambut', 'pirang', 'cantik', 'muda']"
570,"['ootd', 'ma', 'gi', 'simple', 'elegan', 'masyaallah']"
571,"['masyaallah', 'mama', 'gi', 'bening', 'bet', 'sudah', 'sehat', 'mama', 'gi', 'dan', 'keluarga']"
572,"['ma', 'gi', 'ketemu', 'gajah', 'gajah', 'senang', 'tertawa', 'begitu', 'ahhaha']"
573,"['allah', 'tahu', 'kenapa', 'aku', 'suka', 'lihat', 'nagita', 'pakai', 'dres', 'model', 'cakap', 'cakap']"
574,"['beauty', 'in', 'everything', 'mbak', 'gi', 'sehat', 'de', 'bayi']"
575,"['ma', 'gi', 'cantik', 'sekali', 'look', 'younger', 'than', 'her', 'age', 'love', 'ma', 'gi']"
576,"['moga', 'adeknya', 'rafathar', 'anak', 'tangguh', 'kuat', 'cerdas']"
577,"['pakai', 'apa', 'pakai', 'ma', 'gi', 'kece']"
578,"['terima', 'kasih', 'kakak', 'nagita', 'support', 'molly', 'sih', 'gajah', 'satwa', 'bal', 'zo', 'kunjung', 'keluarga']"
579,"['kaya', 'nya', 'gajah', 'rasa', 'aura', 'positif', 'mb', 'gi', 'sumringah', 'juga', 'gajah', 'kamu']"
580,"['manis', 'sekali', 'mbak', 'gi', 'masya', 'allah', 'hamil', 'sinar']"
581,"['ma', 'gi', 'tidak pernah', 'cantik', 'sih', 'kalau']"
582,"['moga', 'sehat', 'bayi', 'kandung', 'ibu']"
583,"['cantik', 'sekali', 'moga', 'sehat', 'kakak', 'panutan']"
584,"['masyaallah', 'pesona', 'kaum', 'adam', 'kaum', 'hawa']"
585,"['orang', 'bangun', 'tidur', 'siang', 'cantik', 'kakak']"
586,"['tua', 'muda', 'yeh', 'muka', 'cantik', 'sangat', 'mau', 'nang', 'ampun', 'cantik', 'kakak']"
587,"['gapaham', 'cakeup', 'natural', 'masyaallah']"
588,"['raisa', 'mah', 'tipe', 'cantik', 'sopan', 'santun', 'pakai']"
589,"['kakak', 'why', 'are', 'you', 'always', 'stunning', 'pretty', 'girl']"
590,"['allah', 'ini', 'orang', 'peri', 'cantik']"
591,"['cantik', 'sekali', 'heran', 'samping', 'kanan', 'kiri', 'dulu', 'tetap', 'saja', 'cantik']"
592,"['henti', 'cakap', 'kakak', 'pusing']"
593,"['cantik', 'baju', 'keren', 'warna', 'bikin', 'pangling']"
594,"['liked', 'congratulations']"
595,"['udaaaah', 'nonton', 'lagu', 'baju', 'makeup', 'hairdo', 'sukaak']"
596,"['raisa', 'tidak', 'monoton', 'suka', 'deh', 'seperti', 'gin']"
597,"['sudah', 'kunyah', 'saja', 'cute', 'sekali']"
598,"['sihir', 'cantik', 'saya', 'rela', 'kutuk', 'tokek', 'laut']"
599,"['ampun', 'kakak', 'makan', 'sih', 'cantik', 'sekali']"
600,"['allah', 'seperti', 'anak', 'masih', 'batita', 'kalau', 'lagi', 'marah', 'manyunnya', 'gemes', 'ha']"
601,"['sudah', 'sumpah', 'bagus', 'sekali', 'serasa', 'liat', 'cerita', 'disney', 'begitu']"
602,"['kamu', 'sopan', 'muka', 'kamu', 'mirip', 'babi']"
603,"['allah', 'sempurna', 'sih', 'cipta', 'in']"
604,"['ragu', 'saja', 'cantik', 'sudah', 'seperti', 'gin', 'bagaimana', 'kalau', 'yak', 'cantik', 'seperti', 'heran']"
605,"['lihat', 'ragu', 'lihat', 'cantik']"
606,"['warna', 'bikin', 'raisa', 'shinning', 'merah', 'hitam', 'putih', 'pink', 'and', 'emerald']"
607,"['raisa', 'pakai', 'baju', 'merah', 'sumpah', 'cantik', 'sangat']"
608,"['lirik', 'pendek', 'tetapi', 'susah', 'hafal', 'pas', 'putar', 'kali', 'eh', 'candu', 'sekali']"
609,"['kakak', 'ngeraguin', 'dengar', 'lagu']"
610,"['kakak', 'kalau', 'ragu', 'tetap', 'cantik', 'yah']"
611,"['ragu', 'saja', 'cantik', 'kakak', 'serius']"
612,"['tidak', 'alay', 'tidak', 'muluk', 'muluk', 'natural', 'suka']"
613,"['seru', 'sangat', 'gemoy', 'tim', 'kebun', 'plus', 'tim', 'alam', 'sangat', 'ini']"
614,"['nikmat', 'hirup', 'oksigen', 'bebas']"
615,"['slide', 'muka', 'gaya', 'saja', 'tetap', 'cantik']"
616,"['mbak', 'isyana', 'foto', 'gelap', 'gin', 'saja', 'aesthetic', 'sangat']"
617,"['mbak', 'isyana', 'sudah', 'cantik', 'suara', 'bagus', 'kompeten', 'ah', 'suka']"
618,"['tau', 'suka', 'sekali', 'gaya', 'isyana']"
619,"['kangen', 'nonton', 'konser', 'isyana', 'langsung', 'masih', 'virtual', 'experiencenya', 'saja', 'begitu']"
620,"['congrats', 'kakak', 'karya', 'sukses', 'jadi', 'inpirasi']"
621,"['congrats', 'kakak', 'pantes', 'dapat']"
622,"['harap', 'kakak', 'umur', 'inspirasi', 'musisi', 'indonesia', 'suka', 'musik', 'indonesia', 'kakak', 'isyana']"
623,"['sudah', 'cantik', 'agak', 'gesrek', 'lebih', 'semangat', 'produktif']"
624,"['gatau', 'serasa', 'nonton', 'wtf', 'benar', 'jakarta', 'virtual', 'and', 'thank', 'you', 'for', 'the', 'performance', 'kakak', 'syan', 'keren', 'pecah', 'kecewa']"
625,"['lihat', 'kakak', 'isyana', 'live', 'benar', 'panggung', 'tetapi', 'pesona', 'sangat', 'ama', 'live', 'virtual', 'asli', 'keren']"
626,"['yash', 'we', 'the', 'fest', 'even', 'virtual', 'tetap', 'keren', 'sangat', 'kakak', 'syan', 'hua', 'energi', 'dapat', 'sangat']"
627,"['keren', 'sekali', 'sebentar', 'mantap', 'habis', 'tunggu', 'karya', 'kakak', 'stay', 'safe', 'and', 'healthy', 'isyana', 'aku']"
628,"['terima kasih', 'kakak', 'inyeeu', 'moga', 'pantang', 'serah', 'kakak', 'teman', 'musisi']"
629,"['thank', 'you', 'syan', 'senang', 'sekali', 'kemarin', 'ha', 'moga', 'pandemi', 'rencana', 'lancar', 'syan']"
